Date,Open,High,Low,Close,Adj Close,Volume
2021-08-11,5.590000,5.670000,5.580000,5.640000,5.640000,2188900
2021-08-12,5.600000,5.660000,5.590000,5.650000,5.650000,1360100
2021-08-13,5.580000,5.600000,5.550000,5.580000,5.580000,1095700
2021-08-16,5.550000,5.570000,5.500000,5.560000,5.560000,1871000
2021-08-17,5.520000,5.530000,5.460000,5.500000,5.500000,977100
2021-08-18,5.490000,5.530000,5.460000,5.470000,5.470000,817300
2021-08-19,5.400000,5.430000,5.360000,5.370000,5.370000,1866600
2021-08-20,5.390000,5.440000,5.380000,5.420000,5.420000,1573800
2021-08-23,5.450000,5.460000,5.430000,5.440000,5.440000,1049400
2021-08-24,5.440000,5.470000,5.420000,5.460000,5.460000,929100
2021-08-25,5.430000,5.480000,5.420000,5.470000,5.470000,1311400
2021-08-26,5.480000,5.500000,5.420000,5.420000,5.420000,843000
2021-08-27,5.420000,5.470000,5.410000,5.460000,5.460000,888800
2021-08-30,5.430000,5.440000,5.370000,5.370000,5.370000,952500
2021-08-31,5.390000,5.460000,5.390000,5.450000,5.450000,1361700
2021-09-01,5.530000,5.570000,5.510000,5.540000,5.540000,1415400
2021-09-02,5.540000,5.540000,5.500000,5.500000,5.500000,1302200
2021-09-03,5.570000,5.660000,5.550000,5.650000,5.650000,1585300
2021-09-07,5.680000,5.700000,5.650000,5.670000,5.670000,1129100
2021-09-08,5.750000,5.780000,5.700000,5.700000,5.700000,983900
2021-09-09,5.700000,5.740000,5.700000,5.740000,5.740000,1094200
2021-09-10,5.780000,5.790000,5.750000,5.750000,5.750000,963200
2021-09-13,5.790000,5.870000,5.770000,5.850000,5.850000,1190400
2021-09-14,5.880000,5.900000,5.820000,5.820000,5.820000,1146000
2021-09-15,5.820000,5.910000,5.820000,5.900000,5.900000,1149500
2021-09-16,5.870000,5.890000,5.840000,5.870000,5.870000,905200
2021-09-17,5.890000,5.910000,5.800000,5.840000,5.840000,2769700
2021-09-20,5.730000,5.740000,5.670000,5.710000,5.710000,1552500
2021-09-21,5.850000,5.910000,5.800000,5.910000,5.910000,5134300
2021-09-22,5.940000,6.010000,5.940000,5.990000,5.990000,2089000
2021-09-23,5.930000,6.080000,5.930000,6.070000,6.070000,1530600
2021-09-24,6.070000,6.100000,6.060000,6.100000,6.100000,1420500
2021-09-27,6.130000,6.300000,6.130000,6.280000,6.280000,6822100
2021-09-28,6.250000,6.300000,6.110000,6.110000,6.110000,2739600
2021-09-29,6.110000,6.120000,6.010000,6.080000,6.080000,1524500
2021-09-30,5.960000,5.960000,5.890000,5.930000,5.930000,2335600
2021-10-01,5.870000,5.890000,5.810000,5.860000,5.860000,1995000
2021-10-04,5.750000,5.790000,5.650000,5.680000,5.680000,2319400
2021-10-05,5.750000,5.840000,5.750000,5.820000,5.820000,1238600
2021-10-06,5.850000,5.930000,5.850000,5.930000,5.930000,2621300
2021-10-07,5.910000,5.960000,5.880000,5.880000,5.880000,2421500
2021-10-08,5.860000,5.920000,5.830000,5.860000,5.860000,2018000
2021-10-11,5.900000,5.960000,5.860000,5.860000,5.860000,1031500
2021-10-12,5.870000,5.900000,5.840000,5.860000,5.860000,1317100
2021-10-13,5.830000,5.850000,5.770000,5.780000,5.780000,1346000
2021-10-14,5.790000,5.800000,5.750000,5.760000,5.760000,1135900
2021-10-15,5.820000,5.880000,5.800000,5.860000,5.860000,1513300
2021-10-18,5.850000,5.860000,5.830000,5.840000,5.840000,2670100
2021-10-19,5.810000,5.820000,5.780000,5.800000,5.800000,917800
